,,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,accuracy,macro avg,weighted avg,X
ibo,precision,0.7268041237113402,0.6737683089214381,0.10029498525073746,0.2961808261886204,0.4642857142857143,0.5188962207558488,0.0,0.881445948261093,0.7675675675675676,0.0,0.6543921916592724,0.8599640933572711,0.9934354485776805,0.07407407407407407,0.0,0.7582604988275421,0.7194411577318649,0.48558562508988745,0.7486116912746256,
ibo,recall,0.8886554621848739,0.7101754385964912,0.3487179487179487,0.7630522088353414,0.5348837209302325,0.740582191780822,0.0,0.7104391052195526,0.6635514018691588,0.0,0.9259259259259259,0.3907014681892333,0.9912663755458515,0.007434944237918215,0.0,0.7879929109437306,0.7194411577318649,0.5289611939360674,0.7194411577318649,
ibo,f1-score,0.7996219281663515,0.691492996241886,0.15578465063001146,0.4267265581134194,0.4970906068162926,0.6102292768959436,0.0,0.7867573973545378,0.7117794486215538,0.0,0.7668312971146348,0.5372966909702749,0.9923497267759563,0.013513513513513514,0.0,0.7728408473655622,0.7194411577318649,0.4851446836612461,0.7190146172677636,
ibo,support,476.0,1425.0,195.0,498.0,559.0,1168.0,1.0,7242.0,428.0,3.0,1593.0,1226.0,1832.0,807.0,7.0,4514.0,0.7194411577318649,21974.0,21974.0,
sna,precision,0.6122448979591837,0.7316698656429942,0.4448051948051948,0.8231884057971014,0.5792079207920792,0.7522026431718062,,0.7971156196528966,0.8678414096916299,0.0,0.7078651685393258,0.7270233196159122,0.9779527559055118,0.9175824175824175,0.8461538461538461,0.6271428571428571,0.7502579313902502,0.6941330881635172,0.7479929667689722,
sna,recall,0.17374517374517376,0.9097852028639618,0.2824742268041237,0.6794258373205742,0.6077922077922078,0.8278787878787879,,0.8647573587907716,0.76953125,0.0,0.5142857142857142,0.6088454910970706,0.9779527559055118,0.5387096774193548,0.22916666666666666,0.7123732251521299,0.7502579313902502,0.5797815717148034,0.7502579313902502,
sna,f1-score,0.27067669172932335,0.811063829787234,0.3455233291298865,0.7444298820445608,0.5931558935361216,0.7882285054818233,,0.8295599084202493,0.8157349896480331,0.0,0.5957446808510638,0.6627070959674898,0.9779527559055118,0.6788617886178862,0.360655737704918,0.6670465337132004,0.7502579313902502,0.6094227748358203,0.7394667621547646,
sna,support,518.0,2095.0,485.0,836.0,385.0,825.0,,3771.0,512.0,2.0,245.0,1741.0,1270.0,310.0,48.0,2465.0,0.7502579313902502,15508.0,15508.0,
bbj,precision,0.7556818181818182,0.6135593220338983,0.6683417085427136,0.5958132045088567,0.7032258064516129,0.6809116809116809,0.0,0.6766955634880163,0.8955223880597015,0.4856396866840731,0.7187789084181314,0.7923076923076923,1.0,0.5826330532212886,,0.6012168141592921,0.6755155770074595,0.651355176464585,0.6815568507856858,
bbj,recall,0.6214953271028038,0.7835497835497836,0.5175097276264592,0.6890130353817505,0.6123595505617978,0.6381842456608812,0.0,0.7111468381564845,0.6091370558375635,0.32978723404255317,0.8144654088050315,0.42386831275720166,1.0,0.7172413793103448,,0.6976893453145058,0.6755155770074595,0.6110298162738108,0.6755155770074595,
bbj,f1-score,0.6820512820512821,0.6882129277566541,0.5833333333333334,0.6390328151986183,0.6546546546546547,0.658855961405927,0.0,0.6934935981186308,0.7250755287009064,0.3928194297782471,0.7636363636363637,0.552278820375335,1.0,0.642967542503864,,0.6458704693998811,0.6755155770074595,0.6214855151275799,0.6700634598820384,
bbj,support,214.0,462.0,257.0,537.0,178.0,749.0,2.0,1866.0,197.0,564.0,954.0,729.0,559.0,290.0,,1558.0,0.6755155770074595,9116.0,9116.0,
wol,precision,0.0,0.9145690312738368,0.8381877022653722,0.9137931034482759,0.92,0.7633587786259542,1.0,0.7977972324202203,0.9724137931034482,0.9461883408071748,0.8532388663967612,0.7824474660074165,0.9568,0.801980198019802,0.6,0.7890874282067645,0.8450209975263188,0.8031163712859392,0.8457645970351044,
wol,recall,0.0,0.9251543209876543,0.7442528735632183,0.931640625,0.972809667673716,0.8791208791208791,0.1111111111111111,0.8057615516257843,0.7844228094575799,0.9634703196347032,0.8082454458293384,0.5786106032906764,0.9994428969359331,0.804635761589404,0.375,0.8391584662368511,0.8450209975263188,0.720177333253553,0.8450209975263188,
wol,f1-score,0.0,0.919831223628692,0.7884322678843226,0.9226305609284333,0.9456681350954479,0.8171603677221656,0.19999999999999998,0.8017596140201504,0.8683602771362586,0.9547511312217195,0.8301329394387001,0.6652653704676825,0.9776566757493188,0.8033057851239669,0.4615384615384615,0.8133530669297813,0.8450209975263188,0.7356153673053188,0.8431519210456752,
wol,support,3.0,1296.0,348.0,1024.0,662.0,1365.0,9.0,3506.0,719.0,219.0,2086.0,1094.0,1795.0,302.0,8.0,2947.0,0.8450209975263188,17383.0,17383.0,
bam,precision,0.55,0.5883777239709443,0.6771488469601677,0.9261904761904762,0.8456692913385827,0.0,,0.8255912162162162,0.8044444444444444,0.9081632653061225,0.9441833137485312,0.72,0.9995136186770428,0.4701492537313433,1.0,0.7278150633855331,0.853832914073878,0.6867029071230878,0.851349503851459,0.0
bam,recall,0.3707865168539326,0.6923076923076923,0.6498993963782697,0.7890466531440162,0.9179487179487179,0.0,,0.8597185576077396,0.6284722222222222,0.9585161547666534,0.9419695193434936,0.36923076923076925,0.986084452975048,0.6237623762376238,0.25,0.7256505576208179,0.853832914073878,0.6102120991648123,0.853832914073878,0.0
bam,f1-score,0.4429530201342282,0.6361256544502618,0.6632443531827515,0.8521358159912376,0.8803278688524591,0.0,,0.8423093494183542,0.7056530214424951,0.9326605860663691,0.943075117370892,0.488135593220339,0.9927536231884058,0.5361702127659574,0.4,0.7267311988086373,0.853832914073878,0.6276422134307743,0.8500230546266994,0.0
bam,support,178.0,351.0,497.0,493.0,585.0,8.0,,4548.0,288.0,2507.0,1706.0,390.0,2084.0,101.0,4.0,1345.0,0.853832914073878,15106.0,15106.0,21.0
ewe,precision,0.6232558139534884,0.8415213946117274,0.559322033898305,,0.9943820224719101,0.9,0.8636363636363636,0.794889502762431,0.7450980392156863,0.9915966386554622,0.8842443729903537,0.808095952023988,0.9537671232876712,0.8860759493670886,0.0,0.5548446069469836,0.8097142857142857,0.760048654254764,0.8108096795551247,
ewe,recall,0.5153846153846153,0.8441971383147854,0.38372093023255816,,0.9076923076923077,0.8894472361809045,1.0,0.8370909090909091,0.5608856088560885,0.855072463768116,0.6674757281553398,0.7645390070921986,0.9982078853046595,0.851581508515815,0.0,0.6812570145903479,0.8097142857142857,0.7171034902119097,0.8097142857142857,
ewe,f1-score,0.5642105263157894,0.8428571428571429,0.45517241379310347,,0.9490616621983914,0.8946925021061498,0.9268292682926829,0.8154445625221396,0.6399999999999999,0.9182879377431906,0.760719225449516,0.7857142857142857,0.9754816112084063,0.86848635235732,0.0,0.6115869017632242,0.8097142857142857,0.7339029594880896,0.808109333101541,
ewe,support,260.0,1887.0,86.0,,195.0,597.0,38.0,2750.0,271.0,138.0,412.0,1410.0,1116.0,411.0,38.0,891.0,0.8097142857142857,10500.0,10500.0,
mos,precision,0.6346153846153846,0.7822878228782287,0.5898876404494382,0.8712574850299402,0.8493647912885662,0.7511961722488039,,0.8163394553514883,0.9117647058823529,0.8386727688787186,0.707774798927614,0.7279752704791345,0.9986996098829649,0.8818984547461368,0.0,0.8017848755284172,0.8281325788197251,0.7442346157458127,0.8265399869998813,
mos,recall,0.49624060150375937,0.7822878228782287,0.5412371134020618,0.8128491620111732,0.972972972972973,0.680635838150289,,0.8223285486443381,0.850609756097561,0.894993894993895,0.7457627118644068,0.6061776061776062,0.9941747572815534,0.9162844036697247,0.0,0.8298492950899368,0.8281325788197251,0.7297602989825004,0.8281325788197251,
