,,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,accuracy,macro avg,weighted avg
ibo,precision,0.6536144578313253,0.6251504211793021,0.1464226289517471,0.296551724137931,0.4685792349726776,0.575,0.0,0.8797425474254743,0.8439306358381503,0.0,0.6384228187919463,0.7413793103448276,0.9934462042599672,0.2066115702479339,0.0,0.8349705304518664,0.0,0.7299080731773915,0.4649307108490087,0.7611610621184414
ibo,recall,0.9117647058823529,0.7291228070175438,0.4512820512820513,0.7771084337349398,0.6135957066189625,0.728595890410959,0.0,0.7172051919359294,0.6822429906542056,0.0,0.9554300062774639,0.5261011419249593,0.9929039301310044,0.030978934324659233,0.0,0.7532122286220647,0.0,0.7299080731773915,0.5217378834598291,0.7299080731773915
ibo,f1-score,0.7614035087719299,0.6731454486556527,0.22110552763819094,0.42928452579034937,0.5313710302091403,0.642749244712991,0.0,0.7902023429179978,0.7545219638242895,0.0,0.7654010560724164,0.6154580152671757,0.9931749931749932,0.05387931034482759,0.0,0.7919869555089681,0.0,0.7299080731773915,0.47198140722876014,0.731944553337429
ibo,support,476.0,1425.0,195.0,498.0,559.0,1168.0,1.0,7242.0,428.0,3.0,1593.0,1226.0,1832.0,807.0,7.0,4514.0,0.0,0.7299080731773915,21974.0,21974.0
sna,precision,0.5875,0.7351703023344814,0.4584717607973422,0.790633608815427,0.5903307888040712,0.7565502183406113,,0.8283887468030691,0.867237687366167,0.0,0.6683168316831684,0.768892149669846,0.9713622291021672,0.9202127659574468,0.8888888888888888,0.6226415094339622,,0.7585117358782564,0.6969731658664432,0.7574090186006637
sna,recall,0.18146718146718147,0.916945107398568,0.2845360824742268,0.6866028708133971,0.6025974025974026,0.84,,0.8589233625033148,0.791015625,0.0,0.5510204081632653,0.6019529006318208,0.9881889763779528,0.5580645161290323,0.16666666666666666,0.7496957403651116,,0.7585117358782564,0.585178456039196,0.7585117358782564
sna,f1-score,0.27728613569321536,0.8160577740016992,0.3511450381679389,0.734955185659411,0.596401028277635,0.7960941987363584,,0.8433797682593411,0.8273748723186926,0.0,0.6040268456375838,0.6752577319587628,0.9797033567525372,0.6947791164658635,0.2807017543859649,0.680287134180011,,0.7585117358782564,0.6104966626996676,0.7481295351940097
sna,support,518.0,2095.0,485.0,836.0,385.0,825.0,,3771.0,512.0,2.0,245.0,1741.0,1270.0,310.0,48.0,2465.0,,0.7585117358782564,15508.0,15508.0
bbj,precision,0.6681818181818182,0.638996138996139,0.5884615384615385,0.5918367346938775,0.7443609022556391,0.7307692307692307,0.0,0.7133182844243793,0.9144736842105263,0.4915254237288136,0.7039301310043669,0.7533333333333333,1.0,0.6386292834890965,,0.6414985590778098,,0.6886792452830188,0.6546210041751047,0.6954706699661759
bbj,recall,0.6869158878504673,0.7164502164502164,0.5953307392996109,0.702048417132216,0.5561797752808989,0.6088117489986649,0.0,0.677384780278671,0.7055837563451777,0.5141843971631206,0.8448637316561844,0.46502057613168724,1.0,0.7068965517241379,,0.714377406931964,,0.6886792452830188,0.6329365323495344,0.6886792452830188
bbj,f1-score,0.6774193548387097,0.6755102040816326,0.5918762088974855,0.6422487223168655,0.6366559485530547,0.6642388929351785,0.0,0.6948873007146784,0.7965616045845272,0.5025996533795494,0.7679847546450691,0.5750636132315521,1.0,0.6710310965630114,,0.6759793501366534,,0.6886792452830188,0.6381371136585312,0.6867699774768633
bbj,support,214.0,462.0,257.0,537.0,178.0,749.0,2.0,1866.0,197.0,564.0,954.0,729.0,559.0,290.0,,1558.0,,0.6886792452830188,9116.0,9116.0
wol,precision,0.0,0.916793893129771,0.7846607669616519,0.9251439539347409,0.9238505747126436,0.767070835992342,1.0,0.8056609279252991,0.9713804713804713,0.9417040358744395,0.8510317060895822,0.7847478474784748,0.9568,0.8592057761732852,0.6666666666666666,0.7742635658914728,,0.8449634700569522,0.8080613138881776,0.8458441269842171
wol,recall,0.0,0.9266975308641975,0.764367816091954,0.94140625,0.9712990936555891,0.8805860805860806,0.2222222222222222,0.7875071306332002,0.8025034770514604,0.958904109589041,0.8106423777564717,0.583180987202925,0.9994428969359331,0.7880794701986755,0.5,0.8473023413640991,,0.8449634700569522,0.7365088615094906,0.8449634700569522
wol,f1-score,0.0,0.9217191097467382,0.7743813682678311,0.9332042594385286,0.946980854197349,0.819918144611187,0.3636363636363636,0.7964806000288475,0.8789032749428789,0.9502262443438915,0.8303461821753008,0.6691137912952281,0.9776566757493188,0.8221070811744386,0.5714285714285715,0.8091380427738172,,0.8449634700569522,0.7540775352381431,0.8432302874015584
wol,support,3.0,1296.0,348.0,1024.0,662.0,1365.0,9.0,3506.0,719.0,219.0,2086.0,1094.0,1795.0,302.0,8.0,2947.0,,0.8449634700569522,17383.0,17383.0
bam,precision,0.5470085470085471,0.594059405940594,0.6782077393075356,0.9249394673123487,0.8682926829268293,0.0,,0.8294117647058824,0.8291666666666667,0.9037092544023979,0.9571428571428572,0.6916299559471366,0.9990277102576568,0.4782608695652174,1.0,0.7426584234930448,0.0,0.8579372434794121,0.6902197090422947,0.855238771055286
bam,recall,0.3595505617977528,0.6837606837606838,0.670020120724346,0.7748478701825557,0.9128205128205128,0.0,,0.8680738786279684,0.6909722222222222,0.9621061029118468,0.9425556858147714,0.4025641025641026,0.986084452975048,0.6534653465346535,0.25,0.7144981412639405,0.0,0.8579372434794121,0.6169574801375253,0.8579372434794121
bam,f1-score,0.4338983050847458,0.6357615894039735,0.6740890688259108,0.8432671081677704,0.89,0.0,,0.8483025354533734,0.7537878787878788,0.9319938176197835,0.9497932663910219,0.5089141004862237,0.9925138855348951,0.5523012552301255,0.4,0.7283061765820386,0.0,0.8579372434794121,0.6339330617229838,0.8544714346758395
bam,support,178.0,351.0,497.0,493.0,585.0,8.0,,4548.0,288.0,2507.0,1706.0,390.0,2084.0,101.0,4.0,1345.0,21.0,0.8579372434794121,15106.0,15106.0
ewe,precision,0.5843621399176955,0.8472222222222222,0.4927536231884058,,0.973404255319149,0.8951890034364262,0.8636363636363636,0.7954316425932146,0.7586206896551724,0.9916666666666667,0.8274111675126904,0.8742810188989318,0.9537275064267352,0.8154506437768241,1.0,0.6267529665587918,,0.8221904761904761,0.819993993987286,0.8237646680592484
ewe,recall,0.5461538461538461,0.8404875463698993,0.3953488372093023,,0.9384615384615385,0.8726968174204355,1.0,0.8610909090909091,0.6494464944649446,0.8623188405797102,0.7912621359223301,0.7546099290780142,0.9973118279569892,0.9245742092457421,0.05263157894736842,0.6520763187429854,,0.8221904761904761,0.7425647219762677,0.8221904761904761
ewe,f1-score,0.5646123260437375,0.8438414471934026,0.43870967741935485,,0.9556135770234986,0.8837998303647158,0.9268292682926829,0.8269600139689193,0.6998011928429424,0.9224806201550387,0.8089330024813897,0.8100494861058242,0.9750328515111696,0.8665906499429875,0.1,0.639163916391639,,0.8221904761904761,0.7508278573158201,0.8200179842792109
ewe,support,260.0,1887.0,86.0,,195.0,597.0,38.0,2750.0,271.0,138.0,412.0,1410.0,1116.0,411.0,38.0,891.0,,0.8221904761904761,10500.0,10500.0
mos,precision,0.6041666666666666,0.8075471698113208,0.5803108808290155,0.8700906344410876,0.8664192949907236,0.7986111111111112,,0.8300632911392405,0.9103448275862069,0.8825,0.6606498194945848,0.7610169491525424,0.9986996098829649,0.8865406006674083,,0.7718832891246684,,0.8301535974130962,0.8020602960641101,0.830973020785755
mos,recall,0.43609022556390975,0.7896678966789668,0.5773195876288659,0.8044692737430168,0.9708939708939709,0.6647398843930635,,0.836682615629984,0.8048780487804879,0.8620268620268621,0.7754237288135594,0.5778635778635779,0.9941747572815534,0.9139908256880734,,0.8488089450656295,,0.8301535974130962,0.7755021571465371,0.8301535974130962
mos,f1-score,0.5065502183406113,0.7985074626865672,0.5788113695090438,0.8359941944847606,0.915686274509804,0.725552050473186,,0.8333598093725179,0.854368932038835,0.872143298332304,0.7134502923976608,0.6569129480614485,0.9964320467077521,0.9000564652738566,,0.8085204908543645,,0.8301535974130962,0.7854532752173367,0.8284541702797942
mos,support,133.0,271.0,194.0,358.0,481.0,692.0,,3135.0,328.0,819.0,708.0,777.0,1545.0,872.0,,2057.0,,0.8301535974130962,12370.0,12370.0
